Cation,Anion,target
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,[Br-],>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,[Br-],>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,[Br-],>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,F[P-](F)(F)(F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,F[P-](F)(F)(F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,F[P-](F)(F)(F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,F[P-](F)(F)(F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,F[B-](F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,F[B-](F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,F[B-](F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,F[B-](F)(F)F,>0.3
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.102
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.11
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.108
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.105
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,[Br-],0.105
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,[Br-],0.099
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,[Br-],0.097
