Cation,Anion,target,Cation_Organic,Anion_Organic,both_Organic,only_one_Organic
N=C([NH3+])NCCCC[NH3+],O=C([O-])CC(O)(CC(=O)O)C(=O)O,1.695785709,True,True,True,False
N=C([NH3+])NCCCC[NH3+],O=C([O-])c1cccc(O)c1,2.752484992,True,True,True,False
N=C([NH3+])NCCCC[NH3+],O=C([O-])c1cccc(O)c1,5.520470426,True,True,True,False
N=C([NH3+])NCCCC[NH3+],O=C([O-])c1cccnc1,4.559602561,True,True,True,False
N=C([NH3+])NCCCC[NH3+],O=C([O-])c1cccnc1,3.740230068,True,True,True,False
CS(=O)(=O)[O-],CS(=O)(=O)[O-],0.533,True,True,True,False
C[n+]1ccn(CCCCCCCCCCn2cc[n+](C)c2)c1,NCC(=O)[O-],12.5,True,True,True,False
C[n+]1ccn(CCCCCCCCCCn2cc[n+](C)c2)c1,NCCCCC(N)C(=O)[O-],12.5,True,True,True,False
Cn1cc[n+](CCCCCCCC[n+]2ccn(C)c2)c1,N[C@@H](Cc1cnc[nH]1)C(=O)[O-],25.7,True,True,True,False
CCCCc1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1,CCCCc1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1,0.115,True,True,True,False
CCCCCCc1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1,CCCCCCc1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1,0.126,True,True,True,False
COc1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1,COc1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1,2.21,True,True,True,False
CCCCCCCCc1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1,CCCCCCCCc1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1,0.0337,True,True,True,False
C[N+](C)(CCO)CCOCCOCC[N+](C)(C)CCO,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)c1c(F)c(F)c(F)c(F)c1F,0.236,True,True,True,False
C[N+](C)(CCO)CCOCCOCC[N+](C)(C)CCO,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)c1c(F)cc(F)cc1F,1.33,True,True,True,False
CCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,11.7,True,True,True,False
CCCCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,6.1,True,True,True,False
C[N+](C)(CCO)CCOCCOCC[N+](C)(C)CCO,Cc1cc(C)c(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)c(C)c1,0.458,True,True,True,False
CCCCCCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.199,True,True,True,False
C[N+](C)(CCO)CCOCCOCC[N+](C)(C)CCO,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)c1ccccc1,3.22,True,True,True,False
C[N+](C)(CCO)CCOCCOCC[N+](C)(C)CCO,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.45,True,True,True,False
C[N+](C)(CCO)CCOCCOCC[N+](C)(C)CCO,Cc1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1,1.37,True,True,True,False
CC(=O)[O-],CC(=O)[O-],223.8,True,True,True,False
C1C[NH+]=C2CCCN2C1,C1C[NH+]=C2CCCN2C1,6.01e-05,True,True,True,False
C1C[NH+]=C2CCCN2C1,C1C[NH+]=C2CCCN2C1,0.000165,True,True,True,False
C1C[NH+]=C2CCCN2C1,C1C[NH+]=C2CCCN2C1,0.0312,True,True,True,False
C1C[NH+]=C2CCCN2C1,C1C[NH+]=C2CCCN2C1,0.0933,True,True,True,False
C1C[NH+]=C2CCCN2C1,C1C[NH+]=C2CCCN2C1,1.02,True,True,True,False
C1C[NH+]=C2CCCN2C1,C1C[NH+]=C2CCCN2C1,1.14,True,True,True,False
C[N+](C)(C)CCO,C[N+](C)(C)CCO,0.00492,True,True,True,False
C[N+](C)(C)CCO,C[N+](C)(C)CCO,0.00857,True,True,True,False
C[N+](C)(C)CCO,C[N+](C)(C)CCO,0.00264,True,True,True,False
C[N+](C)(C)CCO,C[N+](C)(C)CCO,0.00487,True,True,True,False
C[N+](C)(C)CCO,C[N+](C)(C)CCO,0.00541,True,True,True,False
C[N+](C)(C)CCO,C[N+](C)(C)CCO,0.00894,True,True,True,False
C[N+](C)(C)CCO,C[N+](C)(C)CCO,0.0101,True,True,True,False
C[N+](C)(C)CCO,C[N+](C)(C)CCO,0.0833,True,True,True,False
Cn1cc[n+](CCO)c1,Cn1cc[n+](CCO)c1,0.000407,True,True,True,False
Cn1cc[n+](CCO)c1,Cn1cc[n+](CCO)c1,0.000621,True,True,True,False
Cn1cc[n+](CCO)c1,Cn1cc[n+](CCO)c1,3.28e-06,True,True,True,False
Cn1cc[n+](CCO)c1,Cn1cc[n+](CCO)c1,8.83e-06,True,True,True,False
Cn1cc[n+](CCO)c1,Cn1cc[n+](CCO)c1,7.84e-05,True,True,True,False
Cn1cc[n+](CCO)c1,Cn1cc[n+](CCO)c1,0.000165,True,True,True,False
CS(=O)(=O)[O-],CS(=O)(=O)[O-],1.68,True,True,True,False
CCCCn1cc[n+](Cc2cc3ccccc3c(-c3c(O)c(C[n+]4ccn(CCCC)c4)cc4ccccc34)c2O)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0238,True,True,True,False
CCCCCCCCCCCCn1cc[n+](Cc2cc3ccccc3c(-c3c(O)c(C[n+]4ccn(CCCCCCCCCCCC)c4)cc4ccccc34)c2O)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0092,True,True,True,False
CCCCCCCCn1cc[n+](Cc2cc3ccccc3c(-c3c(O)c(C[n+]4ccn(CCCCCCCC)c4)cc4ccccc34)c2O)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0117,True,True,True,False
