Canonical SMILES,"CC50/IC50/EC50, mM",filename
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.[Br-].[Br-],0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.[Br-].[Br-],0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.[Br-].[Br-],0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.[Br-].[Br-],0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F,0.3,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.102,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.11,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.108,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.105,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1.[Br-].[Br-],0.105,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1.[Br-].[Br-],0.099,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1.[Br-].[Br-],0.097,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1.[Br-].[Br-],0.103,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,0.096,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,0.095,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,0.096,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,0.098,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,0.094,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,0.093,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,0.099,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,0.101,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1.[Br-].[Br-],0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1.[Br-].[Br-],0.3,polycharged.csv
